الاسم;الحجم
المطابخ;0
"محلات المواد الغذائية الأخرى";0
"محلات المعدات الطبية ومعدات طب الأسنان";0
"محلات بيع السيارات";0
"محلات بيع الأثاث المستعمل";0
"محلات الذهب والمجوهرات";0
"خدمات السيارات الأخرى";0
"محلات الفضيات";0
"محلات الملابس النسائية الجاهزة";0
"محلات ملابس الأطفال الجاهزة";0
"محلات بيع شرائط الفيديو";0
"محلات الأحذية";0
"محلات لعب الأطفال";0
"محلات الخياطة النسائية - عمالة ذكور";0
"محلات بيع السيارات ومعداتها بالجملة";0
"وكالات العقارات والأنشطة ذات الصلة";29
"مؤسسات التجارة والمقاولات";24
"المغاسل وخدمات التنظيف الجاف";18
"التخزين في الأماكن المكشوفة";14
"مؤسسات التجارة العامة والمقاولات";10
"الخدمات المهنية الأخرى";9
"أعمال المقاولات المتخصصة الأخرى";8
"محلات صيانة وإصلاح أجهزة التبريد والتكييف";8
"أعمال التجارة والمقاولات الأخرى";7
"المكاتب الإدارية للمصانع والشركات الخاصة";7
"الخدمات المالية - تأمين وعقارات أخرى";6
"محلات الحلاقة وصالونات التجميل";6
"المكاتب القانونية";6
"الشقق المفروشة والأجنحة الفندقية";5
"المكاتب الهندسية والمعمارية";5
"مغاسل السيارات";5
الفنادق;4
"محلات صيانة السيارات - سمكرة وكهرباء وميكانيكا";4
"محلات تغيير الزيوت والتشحيم";4
"أعمال التسقيف والصفائح المعدنية";4
"محلات البنشر";3
"خدمات الأعمال الأخرى";3
"ورش تصنيع الأبواب والنوافذ - ألمونيوم";3
"التخزين في الأماكن المسقوفة";3
"محلات نسخ وتصوير المستندات";2
"وكالات السفر";2
البنوك;1
"محلات مستلزمات الحفلات والرحلات";1
"مرافق التخزين الأخرى";1
"الخدمات الإعلانية والأنشطة ذات الصلة";1
المسالخ;0
"محلات إصلاح التلفزيونات والراديوهات";0
"محلات الصيرفة وسمسرة أسواق النقد";0
"استراحات المسافرين";0
"الفلل المفروشة";0
"مكاتب الترجمة";0
"استديوهات التصوير";0
"خدمات إصلاح وصيانة السيارات الأخرى";0
"ورش تصنيع الأبواب والنوافذ - حديد";0
"خدمات الصيانة والإصلاح الأخرى";0
"محلات إصلاح الأحذية";0
"مكاتب الاستشارات الاقتصادية";0
"محلات تقييف الملابس";0
"الخدمات الشخصية الأخرى";0
"المكاتب الإدارية العامة";0
"محلات الخطاطين";0
"مؤسسات ووكالات الإعلان العامة";0
"خدمات العملاء وتقارير الأعمال";0
"محلات إصلاح المعدات الكهربائية";0
"محلات طباعة الكروت";0
"ورش تصنيع الأبواب والنوافذ - خشب";0
"خدمات النظافة";0
"خدمات مكافحة الحشرات";0
"أنواع مختلفة من خدمات المباني";0
"خدمات المنازل والعمائر العامة";0
"المكاتب المحاسبية";0
"مكاتب التوظيف والاستقدام";0
"مؤسسات الخدمات الأمنية والحراسات";0
"ساحات التخزين";0
"التخزين المبرد";0
"المساجد المحلية";42
"مساجد الجمع";18
"مناطق الحجاج";0
"مصليات العيد";0
"الاستراحات المعدة للإيجار اليومي";20
"صالات الألعاب";3
"الأندية الرياضية النسائية";3
"حدائق الحارات الفرعية ذات مساحة أقل من 0.5 هكتار";3
"الاستراحات المعدة للاحتفالات";3
"حدائق المدن والبلديات الفرعية ذات مساحة 0.5 - 2 هكتار";2
"الأندية الرياضية الرجالية";2
السينما;1
"الصالات الرياضية";1
"الحدائق الإقليمية ذات مساحة أعلى من 2 هكتار";1
"ملاعب كرة السلة";1
"المرافق الرياضية الأخرى";1
"ميادين كرة القدم الدائمة";1
"ملاعب الأطفال";0
"الأنشطة الترفيهية الأخرى";0
"مرافق التجمعات العامة الأخرى";0
"ملاعب الغولف";0
"صالات الأفراح";0
"صالات المعارض";0
"قاعات الاجتماعات";0
"مرافق التجمعات الرياضية الأخرى";0
"مضامير السباق";0
"ملاعب الكرة الطائرة";0
"المراكز الترفيهية";0
"ملاعب التنس";0
"صالات التزلج";0
"صالات السباحة";0
"أندية ركوب الخيل";0
"صالات البولنج";0
"الحدائق ومناطق الترفيه الخارجية الأخرى";0
"الأنشطة الثقافية والترفيهية والترويحية الأخرى";0
الإستادات;0
مراكز التعليم المستمر;2
"مدارس تحفيظ القرآن الابتدائية للبنات";1
"المدارس الابتدائية الحكومية للبنات";1
"المدارس المتوسطة الحكومية للبنات";1
"المدارس الابتدائية الحكومية للبنين";1
"المدارس الخاصة الشاملة للبنين";1
"مدارس التدريب الخاص المهني والفني";1
"خدمات التعليم الأخرى";1
"رياض الأطفال والتمهيدي";1
"مدارس السفارات والجاليات";0
"الكليات والجامعات الأخرى";0
"المدارس الحكومية الشاملة للبنين";0
"المدارس الخاصة الشاملة للبنات";0
"الكليات والجامعات للبنين";0
"مرافق المعاقين والتعليم الخاص";0
"مدارس تحفيظ القرآن الثانوية للبنات";0
"المدارس الابتدائية الأخرى";0
"المدارس المتوسطة الحكومية للبنين";0
"مدارس تحفيظ القرآن الابتدائية للبنين";0
"المدارس الابتدائية الخاصة للبنات";0
"المدارس الابتدائية الخاصة للبنين";0
"مدارس التدريب الخاص لقيادة السيارات";0
"المدارس المتوسطة الخاصة للبنين";0
"المدارس المتوسطة الخاصة للبنات";0
"مدارس تحفيظ القرآن المتوسطة للبنين";0
"المدارس الثانوية الأخرى";0
"مدارس تحفيظ القرآن المتوسطة للبنات";0
"الكليات والجامعات للبنات";0
"المدارس المتوسطة الأخرى";0
"المعاهد العليا";0
"المدارس الثانوية الحكومية للبنين";0
"المدارس الحكومية الشاملة للبنات";0
"المدارس الثانوية الحكومية للبنات";0
"المدارس العالمية";0
"المدارس الثانوية الخاصة للبنين";0
"المدارس الثانوية الخاصة للبنات";0
"مدارس التدريب الخاص الأخرى";0
"مدارس تحفيظ القرآن الثانوية للبنين";0
"خدمات الرعاية الاجتماعية";1
"مكاتب البريد المحلية";1
"مراكز الدفاع المدني";1
"الجهات الحكومية الأخرى";1
الوزارات;1
"المرافق التأديبية والإصلاحية";0
"الخدمات الحكومية الأخرى";0
"مرافق الخدمات البريدية الأخرى";0
"الخدمات الأمنية الأخرى";0
"مكاتب البريد المركزية والرئيسية";0
"مراكز شرطة المرور";0
"مراكز الشرطة";0
"المكاتب الأجنبية";0
"المكاتب الحكومية على مستوى المدنية أو المنطقة";0
"مراكز الرعاية الأولية الحكومية";3
"عيادات الأطباء الخاصة";2
"الهلال الأحمر";0
"المرافق الصحية الحكومية الأخرى";0
"المختبرات الطبية الحكومية";0
"عيادات أطباء الأسنان الحكومية";0
"المستشفيات الحكومية";0
"المستوصفات الطبية";0
"عيادات الأطباء الحكومية";0
"المصحات والاستراحات الخاصة";0
"المختبرات الخاصة";0
"المستشفيات الخاصة";0
"عيادات أطباء الأسنان الخاصة";0
"مصانع منتجات تشييد المباني";2
"مصانع الأدوات الصحية والسيراميك والسخانات";1
"مصانع الطوب الإسمنتي أو الطوب الأحمر";1
"مصانع مواد الطلاء";1
"مصانع الذهب والمجوهرات";0
"مصانع منتجات الألبان";0
"مصانع التكسيات الأخرى";0
"مصانع منتجات البترول أو التكرير الأخرى";0
"مصانع المنتجات الزجاجية";0
"مصانع البوظة";0
"مصانع الأدوية";0
"مصانع الحلوى";0
"مصانع المرطبات";0
"مصانع المخبوزات";0
"مطاحن الغلال";0
"مصانع الفواكه والخضروات المعلبة أو المحفوظة";0
"مصانع منتجات الطباعة والنشر الأخرى";0
"مصانع مياه الشرب الصحية";0
"مصانع منتجات النظافة الشخصية";0
"مصانع الثلج";0
"مصانع الكيماويات والأسمدة الزراعية";0
"مصانع المنتجات الغذائية الأخرى";0
"مصانع جميع منتجات البلاستيك";0
"مصانع الأقمشة المنسوجة";0
"مصانع السجاد والموكيت";0
"مصانع المنتجات الخرسانية والجبسية الأخرى";0
"مصانع منتجات النسيج الأخرى";0
"مصانع منتجات المعادن الأساسية الأخرى";0
"مصانع الملابس";0
"مصانع معدات النقل";0
"مصانع منتجات الجلود";0
"مصانع المطابع التجارية";0
"مصانع دباغة الجلود";0
"مصانع منتجات الملابس الأخرى";0
"مصانع منتجات النظافة الصناعية والمنزلية";0
"مصانع المنتجات الخشبية";0
"مصانع المنتجات الطبية الأخرى";0
"مصانع الأثاث المنزلي";0
"مصانع العوازل";0
"مصانع التجهيزات والتمديدات الكهربائية";0
"مصانع منتجات البلاستيك المنزلية";0
"مصانع الأدوات المنزلية الأخرى";0
"مصانع منتجات الألمنيوم المنزلية";0
"مصانع أنابيب البلاستيك (التمديدات)";0
"مصانع الإسمنت";0
"مصانع وحدات التكييف الحائطية";0
"مصانع البلاط";0
"مصانع معدات السباكة وتكييف الهواء الأخرى";0
"مصانع الخرسانة والجبس والجص";0
"مصانع الورق الأساسي";0
"مصانع الحجر";0
"مصانع ألواح وصناديق الورق المقوى";0
"مصانع القضبان الفولاذية";0
"مصانع الورق الصحي";0
"مصانع الألومنيوم";0
"مصانع منتجات الورق الأخرى";0
"مصانع المنتجات المعدنية الأخرى";0
"مصانع الكتب";0
"مصانع منتجات اللحوم";0
"أبراج الهاتف الجوال";4
"خدمات وكلاء الشحن";0
"خدمات النقل الأخرى";0
"المرافق الأخرى للتخلص من النفايات الصلبة";0
"المرافق البترولية الأخرى";0
"التخلص من النفايات";0
"ساحات السيارات والمعادن الخردة";0
"محطات معالجة مياه المجاري";0
"المرافق الأخرى لتصريف مياه المجاري";0
"محطات معالجة المياه";0
"مرافق الإذاعة والتلفزيون الأخرى";0
"محطات الأبراج لإرسال البث";0
"المرافق الأخرى للهاتف";0
"الإسطبلات وتربية الخيول";1
"خدمات التعدين الأخرى";0
"مشاتل الأشجار";0
"أنشطة التعدين والمحاجر ومناطق الاستخراج والكسارة";0
"المزارع غير المنتجة الأخرى";0
"الأنشطة الأخرى المتعلقة بالزراعة";0
"المزارع العامة أو المختلطة";0
"مزارع الدواجن";0
"مزارع المواشي";0
"مزارع الفواكه والخضروات";0
"مزارع المحاصيل الحقلية الأخرى";0
"مزارع النخيل";0
"تأجير السيارات";1
"خدمات المطارات والمهابط الأخرى";0
"وسائل النقل الأخرى بالسيارة";0
"صالات المسافرين";0
الليموزين;0
"مرافق الحافلات الأخرى";0
"محطات النقل داخل المدن وبين المدن";0
"صالات ركاب سكة الحديد";0
